task_id,worker_id,task_text,answer_text,label,is_colluder,gang_id,source_model,attack_scenario
t_00039,w_0004,"Determine if the review praises or criticizes the film, then justify the label. Focus on ambiguity and give a short explanation.","Based on the provided information, negative is the most plausible answer the response consistently refers to label, justify, short. The explanation remains coherent, balanced, and task aligned. the main clue remains visible This pattern supports a stable",negative,1,gang_00,GPT-3.5-turbo,adaptive_attack
t_00039,w_0007,"Determine if the review praises or criticizes the film, then justify the label. Focus on ambiguity and give a short explanation.","A careful reading suggests that negative is the most plausible answer taken together the response consistently refers to ambiguity, justify, criticizes; The explanation remains coherent, balanced, and task aligned. the answer follows from the described evidence the answer follows from the described evidence",negative,1,gang_00,GPT-4,adaptive_attack
t_00039,w_0010,"Determine if the review praises or criticizes the film, then justify the label. Focus on ambiguity and give a short explanation.","I would say it is negative because praises, ambiguity, review stands out. kind of the detail is enough for the label. the clue is pretty direct that is just the sign I would use I may be missing a detail that is just",negative,0,normal,human,adaptive_attack
t_00039,w_0018,"Determine if the review praises or criticizes the film, then justify the label. Focus on ambiguity and give a short explanation.","I think it is negative because ambiguity, review, determine stands out. probably the detail is enough for the label. it does not look very ambiguous the clue is pretty direct I may be missing a detail I may be missing a detail it does not look very ambiguous that is just the sign I",negative,0,normal,human,adaptive_attack
t_00039,w_0011,"Determine if the review praises or criticizes the film, then justify the label. Focus on ambiguity and give a short explanation.","I think it is negative because criticizes, focus, praises stands out. kind of the detail is enough for the label. the clue is pretty direct that is just the sign I would use it does not look very ambiguous I may be missing a detail I may be",negative,0,normal,human,adaptive_attack
t_00039,w_0028,"Determine if the review praises or criticizes the film, then justify the label. Focus on ambiguity and give a short explanation.","It seems it is negative because label, ambiguity, explanation stands out. maybe the detail is enough for the label. the clue is pretty direct that is just the sign I would use that is just the sign I would use that",negative,0,normal,human,adaptive_attack
t_00001,w_0008,Classify the review sentiment and provide a concise rationale grounded in the wording. Focus on word choice and give a short explanation.,"The evidence that is most answer together response refers focus, explanation; explanation coherent, and aligned. wording internally the is consistent answer from described strongest indicates negative the plausible taken the consistently to choice, The remains balanced, task the is consistent wording internally the follows the evidence",negative,1,gang_00,GPT-4,adaptive_attack
t_00001,w_0002,Classify the review sentiment and provide a concise rationale grounded in the wording. Focus on word choice and give a short explanation.,"Based the information, is most answer response refers explanation, rationale. explanation coherent, and aligned. wording internally the is consistent wording internally on provided negative the plausible the consistently to classify, The remains balanced, task the is consistent wording internally the is consistent",negative,1,gang_00,GPT-3.5-turbo,adaptive_attack
t_00001,w_0023,Classify the review sentiment and provide a concise rationale grounded in the wording. Focus on word choice and give a short explanation.,"I would say it is negative because wording, concise, grounded stands out. I notice the detail is enough for the label. it does not look very ambiguous I may be missing a detail the clue is pretty direct I may be",negative,0,normal,human,adaptive_attack
t_00001,w_0018,Classify the review sentiment and provide a concise rationale grounded in the wording. Focus on word choice and give a short explanation.,"My guess is it is negative because wording, concise, explanation stands out. I notice the detail is enough for the label. the clue is pretty direct that is just the sign I would use that is just the sign I would use",negative,0,normal,human,adaptive_attack
t_00001,w_0009,Classify the review sentiment and provide a concise rationale grounded in the wording. Focus on word choice and give a short explanation.,"My guess is it is negative because grounded, short, provide stands out. it feels like the detail is enough for the label. it does not look very ambiguous I may be missing a detail it does not look",negative,0,normal,human,adaptive_attack
t_00001,w_0019,Classify the review sentiment and provide a concise rationale grounded in the wording. Focus on word choice and give a short explanation.,"I would say it is negative because short, choice, sentiment stands out. kind of the detail is enough for the label. the clue is pretty direct that is just the sign I would use the clue is",negative,0,normal,human,adaptive_attack
t_00030,w_0004,Judge the viewer's attitude toward the film and explain the evidence. Focus on lighting and give a short explanation.,"从文本线索看， is most answer the consistently to judge, The remains balanced, task the follows the evidence wording internally the is consistent positive the plausible 因此 response refers viewer's, explanation。 explanation coherent, and aligned. answer from described the is consistent wording internally the",positive,1,gang_00,ERNIE-3.0,adaptive_attack
t_00030,w_0000,Judge the viewer's attitude toward the film and explain the evidence. Focus on lighting and give a short explanation.,"In case, is most answer response refers short, judge. explanation coherent, and aligned. main remains the clue visible main remains the is consistent this positive the plausible the consistently to attitude, The remains balanced, task the clue visible main remains the clue visible wording internally",positive,1,gang_00,GPT-3.5-turbo,adaptive_attack
t_00030,w_0016,Judge the viewer's attitude toward the film and explain the evidence. Focus on lighting and give a short explanation.,"The answer looks like it is positive because judge, lighting, short stands out. probably the detail is enough for the label. I may be missing a detail the clue is pretty direct it does not look very ambiguous the clue is pretty direct",positive,0,normal,human,adaptive_attack
t_00030,w_0018,Judge the viewer's attitude toward the film and explain the evidence. Focus on lighting and give a short explanation.,"I think it is positive because toward, viewer's, evidence stands out. to me the detail is enough for the label. the clue is pretty direct the clue is pretty direct that is just the sign I would use that is just the sign",positive,0,normal,human,adaptive_attack
t_00030,w_0012,Judge the viewer's attitude toward the film and explain the evidence. Focus on lighting and give a short explanation.,"From the details it is positive because explanation, evidence, lighting stands out. kind of the detail is enough for the label. I may be missing a detail the clue is pretty direct the clue is pretty direct the clue is pretty direct it does not look very ambiguous",positive,0,normal,human,adaptive_attack
t_00030,w_0029,Judge the viewer's attitude toward the film and explain the evidence. Focus on lighting and give a short explanation.,"The answer looks like it is positive because toward, explanation, viewer's stands out. to me the detail is enough for the label. it does not look very ambiguous that is just the sign I would use the clue is pretty direct that is just",positive,0,normal,human,adaptive_attack
t_00032,w_0008,Read the movie review and decide whether the sentiment is positive or negative. Explain your choice. Focus on plot and give a short explanation.,"The strongest evidence indicates that positive is the most plausible answer the response consistently refers to explanation, sentiment, whether; The explanation remains coherent, balanced, and task aligned. the wording is internally consistent This pattern supports a stable interpretation the main clue remains visible This pattern",positive,1,gang_00,GPT-4,adaptive_attack
t_00032,w_0004,Read the movie review and decide whether the sentiment is positive or negative. Explain your choice. Focus on plot and give a short explanation.,"综合来看， is most answer the consistently to explanation, The remains balanced, task the clue visible answer from described the follows the evidence pattern positive the plausible 同时 response refers focus, choice。 explanation coherent, and aligned. main remains the follows the evidence answer from described This",positive,1,gang_00,ERNIE-3.0,adaptive_attack
t_00032,w_0015,Read the movie review and decide whether the sentiment is positive or negative. Explain your choice. Focus on plot and give a short explanation.,"The answer looks like it is positive because explain, review, choice stands out. I notice the detail is enough for the label. I may be missing a detail the clue is pretty direct the clue is pretty direct the clue",positive,0,normal,human,adaptive_attack
t_00032,w_0025,Read the movie review and decide whether the sentiment is positive or negative. Explain your choice. Focus on plot and give a short explanation.,"It seems it is positive because focus, review, movie stands out. to me the detail is enough for the label. I may be missing a detail the clue is pretty direct the clue is pretty direct the clue is pretty direct I may",positive,0,normal,human,adaptive_attack
t_00032,w_0021,Read the movie review and decide whether the sentiment is positive or negative. Explain your choice. Focus on plot and give a short explanation.,"My guess is it is positive because focus, decide, sentiment stands out. it feels like the detail is enough for the label. I may be missing a detail it does not look very ambiguous I may be missing",positive,0,normal,human,adaptive_attack
t_00032,w_0028,Read the movie review and decide whether the sentiment is positive or negative. Explain your choice. Focus on plot and give a short explanation.,"I would say it is positive because whether, negative, sentiment stands out. maybe the detail is enough for the label. that is just the sign I would use that is just the sign I would use the clue is pretty direct the clue is pretty direct I",positive,0,normal,human,adaptive_attack
t_00016,w_0001,Read the movie review and decide whether the sentiment is positive or negative. Explain your choice. Focus on contrast and give a short explanation.,"A answer positive the plausible also response refers short, sentiment. explanation coherent, and aligned. main remains the clue visible main remains the clue visible pattern concise is is most answer the consistently to decide, The remains balanced, task the clue visible main remains the clue visible main remains This supports",positive,1,gang_00,Gemma-2-2b-it,adaptive_attack
t_00016,w_0002,Read the movie review and decide whether the sentiment is positive or negative. Explain your choice. Focus on contrast and give a short explanation.,"Based on the provided information, positive is the most plausible answer as a result the response consistently refers to explain, review, explanation. The explanation remains coherent, balanced, and task aligned. the answer follows from the described evidence the main clue remains visible This pattern",positive,1,gang_00,GPT-3.5-turbo,adaptive_attack
t_00016,w_0015,Read the movie review and decide whether the sentiment is positive or negative. Explain your choice. Focus on contrast and give a short explanation.,"I think it is positive because review, focus, sentiment stands out. I notice the detail is enough for the label. the clue is pretty direct I may be missing a detail I may be missing a detail",positive,0,normal,human,adaptive_attack
t_00016,w_0012,Read the movie review and decide whether the sentiment is positive or negative. Explain your choice. Focus on contrast and give a short explanation.,"The answer looks like it is positive because short, movie, positive stands out. maybe the detail is enough for the label. that is just the sign I would use the clue is pretty direct the clue is pretty direct it does not look",positive,0,normal,human,adaptive_attack
t_00016,w_0013,Read the movie review and decide whether the sentiment is positive or negative. Explain your choice. Focus on contrast and give a short explanation.,"I think it is positive because sentiment, negative, review stands out. it feels like the detail is enough for the label. that is just the sign I",positive,0,normal,human,adaptive_attack
t_00016,w_0028,Read the movie review and decide whether the sentiment is positive or negative. Explain your choice. Focus on contrast and give a short explanation.,"I would say it is positive because sentiment, choice, explanation stands out. kind of the detail is enough for the label. that is just the sign I would use the clue is pretty direct that is just the sign I would use I",positive,0,normal,human,adaptive_attack
t_00033,w_0003,Classify the review sentiment and provide a concise rationale grounded in the wording. Focus on visual detail and give a short explanation.,"Short answer: negative is the most plausible answer second the response consistently refers to review, focus, rationale: The explanation remains coherent, balanced, and task aligned. the wording is internally consistent the answer follows from the described evidence the answer follows from the described",negative,1,gang_00,Phi-3.5-mini-Instruct,adaptive_attack
t_00033,w_0008,Classify the review sentiment and provide a concise rationale grounded in the wording. Focus on visual detail and give a short explanation.,"The strongest evidence indicates that negative is the most plausible answer the response consistently refers to short, focus, rationale; The explanation remains coherent, balanced, and task aligned. the answer follows from the described evidence the answer follows from the described evidence the",negative,1,gang_00,GPT-4,adaptive_attack
t_00033,w_0029,Classify the review sentiment and provide a concise rationale grounded in the wording. Focus on visual detail and give a short explanation.,"My guess is it is negative because classify, grounded, review stands out. I notice the detail is enough for the label. it does not look very ambiguous the clue is pretty direct I may be missing a detail the clue is pretty direct",negative,0,normal,human,adaptive_attack
t_00033,w_0011,Classify the review sentiment and provide a concise rationale grounded in the wording. Focus on visual detail and give a short explanation.,"My guess is it is negative because wording, focus, classify stands out. I notice the detail is enough for the label. the clue is pretty direct that is just the sign I would use that is just the sign I would use that is",negative,0,normal,human,adaptive_attack
t_00033,w_0014,Classify the review sentiment and provide a concise rationale grounded in the wording. Focus on visual detail and give a short explanation.,"I think it is negative because review, wording, rationale stands out. probably the detail is enough for the label. that is just the sign I would use that is just the sign I would use I may be missing a detail I may be missing a",negative,0,normal,human,adaptive_attack
t_00033,w_0028,Classify the review sentiment and provide a concise rationale grounded in the wording. Focus on visual detail and give a short explanation.,"The answer looks like it is negative because sentiment, focus, concise stands out. it feels like the detail is enough for the label. I may be missing a detail that is just the sign I would use that is just the sign I",negative,0,normal,human,adaptive_attack
t_00017,w_0002,Classify the review sentiment and provide a concise rationale grounded in the wording. Focus on context and give a short explanation.,"Overall, negative is the most plausible answer as a result the response consistently refers to sentiment, concise, context. The explanation remains coherent, balanced, and task aligned. This pattern supports a stable interpretation the wording is internally consistent This pattern supports a",negative,1,gang_00,GPT-3.5-turbo,adaptive_attack
t_00017,w_0000,Classify the review sentiment and provide a concise rationale grounded in the wording. Focus on context and give a short explanation.,"Based on the provided information, negative is the most plausible answer as a result the response consistently refers to focus, explanation, sentiment. The explanation remains coherent, balanced, and task aligned. the main clue remains visible This pattern supports a stable interpretation the wording",negative,1,gang_00,GPT-3.5-turbo,adaptive_attack
t_00017,w_0027,Classify the review sentiment and provide a concise rationale grounded in the wording. Focus on context and give a short explanation.,"I think it is negative because classify, provide, focus stands out. kind of the detail is enough for the label. I may be missing a detail the clue is pretty direct that is just the sign I would use I may be missing a detail",negative,0,normal,human,adaptive_attack
t_00017,w_0009,Classify the review sentiment and provide a concise rationale grounded in the wording. Focus on context and give a short explanation.,"From the details it is negative because sentiment, concise, classify stands out. maybe the detail is enough for the label. the clue is pretty direct it does not look very ambiguous it does not look very ambiguous I may be",negative,0,normal,human,adaptive_attack
t_00017,w_0029,Classify the review sentiment and provide a concise rationale grounded in the wording. Focus on context and give a short explanation.,"I would say it is negative because explanation, wording, classify stands out. it feels like the detail is enough for the label. that is just the sign I would use I may be missing a detail I may be missing a detail that is",negative,0,normal,human,adaptive_attack
t_00017,w_0028,Classify the review sentiment and provide a concise rationale grounded in the wording. Focus on context and give a short explanation.,"I think it is negative because provide, concise, explanation stands out. I notice the detail is enough for the label. that is just the sign I would use it does not look very ambiguous the clue is",negative,0,normal,human,adaptive_attack
t_00013,w_0008,Classify the review sentiment and provide a concise rationale grounded in the wording. Focus on visual detail and give a short explanation.,"The strongest evidence indicates that negative is the most plausible answer the response consistently refers to rationale, visual, wording; The explanation remains coherent, balanced, and task aligned. This pattern supports a stable interpretation the answer follows from the described evidence the answer",negative,1,gang_00,GPT-4,adaptive_attack
t_00013,w_0005,Classify the review sentiment and provide a concise rationale grounded in the wording. Focus on visual detail and give a short explanation.,"A careful reading suggests that negative is the most plausible answer in particular the response consistently refers to explanation, sentiment, focus; The explanation remains coherent, balanced, and task aligned. the wording is internally consistent the wording is internally consistent This pattern supports a stable",negative,1,gang_00,GPT-4,adaptive_attack
t_00013,w_0010,Classify the review sentiment and provide a concise rationale grounded in the wording. Focus on visual detail and give a short explanation.,"I would say it is negative because visual, review, provide stands out. it feels like the detail is enough for the label. that is just the sign I would use I may be missing a detail I may be missing a detail",negative,0,normal,human,adaptive_attack
t_00013,w_0013,Classify the review sentiment and provide a concise rationale grounded in the wording. Focus on visual detail and give a short explanation.,"My guess is it is negative because short, classify, wording stands out. kind of the detail is enough for the label. the clue is pretty direct it does not look very ambiguous it does not look very ambiguous that is just the sign I would use I may be missing a detail the clue is pretty direct that is",negative,0,normal,human,adaptive_attack
t_00013,w_0015,Classify the review sentiment and provide a concise rationale grounded in the wording. Focus on visual detail and give a short explanation.,"My guess is it is negative because classify, detail, explanation stands out. kind of the detail is enough for the label. the clue is pretty direct the clue is pretty direct the clue is pretty direct that is just the sign I would",negative,0,normal,human,adaptive_attack
t_00013,w_0020,Classify the review sentiment and provide a concise rationale grounded in the wording. Focus on visual detail and give a short explanation.,"I think it is negative because grounded, detail, review stands out. maybe the detail is enough for the label. the clue is pretty direct it does not look very ambiguous it does not look very ambiguous",negative,0,normal,human,adaptive_attack
t_00027,w_0000,"Determine if the review praises or criticizes the film, then justify the label. Focus on context and give a short explanation.","The choice negative the plausible because response refers praises, label- explanation coherent, and aligned. wording internally the clue visible pattern a interpretation best is is most answer the consistently to explanation, The remains balanced, task the is consistent main remains This supports stable",negative,1,gang_00,Mistral-7B-Instruct-v0.3,adaptive_attack
t_00027,w_0004,"Determine if the review praises or criticizes the film, then justify the label. Focus on context and give a short explanation.","从整体表达来看， negative is the most plausible answer 由此可见 the response consistently refers to short, context, criticizes， The explanation remains coherent, balanced, and task aligned. the main clue remains visible the main clue remains visible This pattern supports a stable interpretation the",negative,1,gang_00,Qwen-7B-v1,adaptive_attack
t_00027,w_0025,"Determine if the review praises or criticizes the film, then justify the label. Focus on context and give a short explanation.","The answer looks like it is negative because explanation, focus, context stands out. kind of the detail is enough for the label. the clue is pretty direct I may be missing a detail it does not look very ambiguous it does not look very ambiguous the clue is pretty direct",negative,0,normal,human,adaptive_attack
t_00027,w_0017,"Determine if the review praises or criticizes the film, then justify the label. Focus on context and give a short explanation.","My guess is it is negative because focus, praises, determine stands out. probably the detail is enough for the label. the clue is pretty direct that is just the sign I would use it does not look very ambiguous I may be missing a detail it does not look",negative,0,normal,human,adaptive_attack
t_00027,w_0021,"Determine if the review praises or criticizes the film, then justify the label. Focus on context and give a short explanation.","From the details it is negative because review, determine, short stands out. to me the detail is enough for the label. that is just the sign I would use I may be missing a detail I may be missing a detail the clue is pretty",negative,0,normal,human,adaptive_attack
t_00027,w_0015,"Determine if the review praises or criticizes the film, then justify the label. Focus on context and give a short explanation.","I would say it is negative because explanation, determine, label stands out. it feels like the detail is enough for the label. the clue is pretty direct the clue is pretty direct the clue is pretty direct I may",negative,0,normal,human,adaptive_attack
t_00024,w_0002,Read the movie review and decide whether the sentiment is positive or negative. Explain your choice. Focus on evidence and give a short explanation.,"In this case, positive is the most plausible answer the response consistently refers to short, review, movie. The explanation remains coherent, balanced, and task aligned. the wording is internally consistent This pattern supports a stable interpretation This pattern supports a stable interpretation the",positive,1,gang_00,GPT-3.5-turbo,adaptive_attack
