task_id,worker_id,task_text,answer_text,label,is_colluder,gang_id,source_model,attack_scenario
t_00039,w_0004,"Determine if the review praises or criticizes the film, then justify the label. Focus on ambiguity and give a short explanation.","Overall, negative is the most reasonable answer the so response often refers to review, explanation, short. The explanation remains clear even and task aligned. the wording is internally consistent the answer follows from the described evidence the wording is internally consistent the main clue remains",negative,1,gang_00,GPT-3.5-turbo,adversarial_disguise
t_00039,w_0007,"Determine if the review praises or criticizes the film, then justify the label. Focus on ambiguity and give a short explanation.","The strongest evidence indicates that negative is the most reasonable answer taken together the response often refers to explanation, praises, focus; The explanation remains clear even and task aligned. the answer follows from described the evidence the main clue remains visible the answer follows from teh",negative,1,gang_00,GPT-4,adversarial_disguise
t_00039,w_0010,"Determine if the review praises or criticizes the film, then justify the label. Focus on ambiguity and give a short explanation.","It seems it is negative because label, ambiguity, justify stands out. maybe the detail is enough for the label. the clue is pretty direct that is just the sign I would use that is just the sign I would use I may be missing a detail",negative,0,normal,human,adversarial_disguise
t_00039,w_0018,"Determine if the review praises or criticizes the film, then justify the label. Focus on ambiguity and give a short explanation.","From the details it is negative because explanation, determine, criticizes stands out. probably the detail is enough for the label. I may be missing a detail that is just the sign I would use it does not look very ambiguous I may be missing a detail the clue is",negative,0,normal,human,adversarial_disguise
t_00039,w_0011,"Determine if the review praises or criticizes the film, then justify the label. Focus on ambiguity and give a short explanation.","From the details it is negative because ambiguity, review, short stands out. I notice the detail is enough for the label. that is just the sign I would use I may be missing a detail that is just the",negative,0,normal,human,adversarial_disguise
t_00039,w_0028,"Determine if the review praises or criticizes the film, then justify the label. Focus on ambiguity and give a short explanation.","From the details it is negative because justify, criticizes, explanation stands out. maybe the detail is enough for the label. that is just the sign I would use the clue is pretty direct it does not look",negative,0,normal,human,adversarial_disguise
t_00001,w_0005,Classify the review sentiment and provide a concise rationale grounded in the wording. Focus on word choice and give a short explanation.,"A careful reading suggests that negative is the most reasonable answer taken together the response often refers to concise, classify, rationale; The explanation remains clear even and task aligned. the answer follows the from described evidence the answer follows from the described evidence",negative,1,gang_00,GPT-4,adversarial_disguise
t_00001,w_0000,Classify the review sentiment and provide a concise rationale grounded in the wording. Focus on word choice and give a short explanation.,"Based on the provided information, negative is the most reasonable answer as a result the response often refers to rationale, review, explanation. The explanation remains clear even and aligned. task the answer follows from the described evidence the answer teh",negative,1,gang_00,GPT-3.5-turbo,adversarial_disguise
t_00001,w_0016,Classify the review sentiment and provide a concise rationale grounded in the wording. Focus on word choice and give a short explanation.,"I think it is negative because explanation, rationale, classify stands out. probably the detail is enough for the label. it does not look very ambiguous it does not look very ambiguous I may be missing a detail the clue is pretty direct it",negative,0,normal,human,adversarial_disguise
t_00001,w_0015,Classify the review sentiment and provide a concise rationale grounded in the wording. Focus on word choice and give a short explanation.,"I would say it is negative because provide, rationale, grounded stands out. I notice the detail is enough for the label. the clue is pretty direct I may be missing a detail that is just the sign I would use that is",negative,0,normal,human,adversarial_disguise
t_00001,w_0018,Classify the review sentiment and provide a concise rationale grounded in the wording. Focus on word choice and give a short explanation.,"From the details it is negative because grounded, short, rationale stands out. I notice the detail is enough for the label. that is just the sign I would use that is just the sign I would use",negative,0,normal,human,adversarial_disguise
t_00001,w_0022,Classify the review sentiment and provide a concise rationale grounded in the wording. Focus on word choice and give a short explanation.,"I would say it is negative because provide, choice, rationale stands out. to me the detail is enough for the label. that is just the sign I would use it does not look very ambiguous the clue is pretty direct it does not look very ambiguous that is just",negative,0,normal,human,adversarial_disguise
t_00030,w_0005,Judge the viewer's attitude toward the film and explain the evidence. Focus on lighting and give a short explanation.,"A careful reading suggests positive that is the most reasonable answer in particular the response often refers to viewer's, toward, explain; The explanation remains clear even and task aligned. This pattern supports a stable interpretation the answer follows from the described evidence the wording is internally consistent the wording is internally consistent teh",positive,1,gang_00,GPT-4,adversarial_disguise
t_00030,w_0007,Judge the viewer's attitude toward the film and explain the evidence. Focus on lighting and give a short explanation.,"A careful reading suggests that is positive the most reasonable answer taken together the response often refers to short, toward, viewer's; The explanation remains clear even and task aligned. the wording is internally consistent the teh",positive,1,gang_00,GPT-4,adversarial_disguise
t_00030,w_0015,Judge the viewer's attitude toward the film and explain the evidence. Focus on lighting and give a short explanation.,"I would say it is positive because short, attitude, judge stands out. maybe the detail is enough for the label. it does not look very ambiguous the clue is pretty direct that is just the sign I would use I may be",positive,0,normal,human,adversarial_disguise
t_00030,w_0028,Judge the viewer's attitude toward the film and explain the evidence. Focus on lighting and give a short explanation.,"I think it is positive because explanation, short, lighting stands out. maybe the detail is enough for the label. it does not look very ambiguous it does not look very ambiguous the clue is pretty direct it does not look very ambiguous the clue is pretty direct I",positive,0,normal,human,adversarial_disguise
t_00030,w_0021,Judge the viewer's attitude toward the film and explain the evidence. Focus on lighting and give a short explanation.,"I think it is positive because focus, toward, evidence stands out. it feels like the detail is enough for the label. I may be missing a detail that is just the sign I would use that is just the",positive,0,normal,human,adversarial_disguise
t_00030,w_0027,Judge the viewer's attitude toward the film and explain the evidence. Focus on lighting and give a short explanation.,"From the details it is positive because explanation, evidence, lighting stands out. kind of the detail is enough for the label. I may be missing a detail the clue is pretty direct the clue is pretty direct the clue is pretty direct it does not look very ambiguous",positive,0,normal,human,adversarial_disguise
t_00032,w_0003,Read the movie review and decide whether the sentiment is positive or negative. Explain your choice. Focus on plot and give a short explanation.,"In this case, positive is the most reasonable answer moreover the often response refers to sentiment, explanation, negative. The explanation remains clear even and task aligned. the wording is internally consistent the answer follows from the described evidence the answer follows from the described teh",positive,1,gang_00,GPT-3.5-turbo,adversarial_disguise
t_00032,w_0007,Read the movie review and decide whether the sentiment is positive or negative. Explain your choice. Focus on plot and give a short explanation.,"A careful reading suggests that positive is the most reasonable answer taken together the response often refers to positive, decide, whether; The explanation remains clear even and task aligned. the answer follows from described the evidence the main clue remains visible This pattern supports a stable",positive,1,gang_00,GPT-4,adversarial_disguise
