1	0
2	0
3	1
4	0
5	2
6	2
7	2
8	0
9	0
10	1
11	0
12	1
13	2
14	0
15	2
16	3
17	0
18	2
19	1
20	3
21	2
22	0
23	2
24	2
25	1
26	0
27	1
28	1
29	2
30	1
31	0
32	1
33	3
34	3
35	3
36	0
37	2
38	0
39	1
40	2
41	3
42	0
43	0
44	1
45	1
46	0
47	0
48	2
49	0
50	1
51	2
52	1
53	3
54	2
55	2
56	0
57	1
58	0
59	3
60	0
61	3
62	3
63	0
64	2
65	2
66	3
67	2
68	3
69	0
70	2
71	3
72	3
73	3
74	3
75	0
76	3
77	1
78	1
79	2
80	2
81	2
82	2
83	0
84	3
85	2
86	2
87	0
88	0
89	2
90	3
91	1
92	3
93	1
94	0
95	2
96	3
97	1
98	2
99	3
100	2
101	2
102	0
103	2
104	0
105	2
106	1
107	3
108	3
109	2
110	2
111	0
112	0
113	3
114	2
115	0
116	0
117	3
118	1
119	2
120	2
121	1
122	0
123	0
124	1
125	0
126	0
127	2
128	2
129	0
130	2
131	1
132	1
133	1
134	0
135	3
136	0
137	0
138	0
139	1
140	0
141	1
142	2
143	2
144	2
145	3
146	3
147	0
148	2
149	1
150	0
151	1
152	2
153	3
154	1
155	0
156	2
157	3
158	0
159	1
160	3
161	3
162	3
163	1
164	1
165	3
166	3
167	1
168	1
169	2
170	0
171	3
172	2
173	0
174	2
175	0
176	2
177	3
178	2
179	2
180	0
181	1
182	3
183	2
184	1
185	1
186	2
187	2
188	3
189	3
190	3
191	3
192	0
193	1
194	2
195	1
196	2
197	1
198	2
199	2
200	2
201	0
202	1
203	3
204	3
205	0
206	0
207	3
208	2
209	2
210	3
211	3
212	0
213	2
214	2
215	3
216	3
217	1
218	3
219	2
220	0
221	3
222	0
223	2
224	2
225	1
226	0
227	1
228	0
229	1
230	1
231	0
232	1
233	2
234	1
235	0
236	0
237	2
238	2
239	3
240	2
241	3
242	3
243	2
244	1
245	0
246	0
247	2
248	1
249	3
250	1
251	0
252	3
253	0
254	2
255	0
256	1
257	1
258	3
259	1
260	3
261	1
262	1
263	0
264	0
265	1
266	2
267	2
268	1
269	0
270	0
271	2
272	1
273	0
274	0
275	2
276	2
277	2
278	3
279	1
280	2
281	3
